name,id
"Dabrusin, Julie",https://www.ourcommons.ca/Members/en/julie-dabrusin(88994)
"Dalton, Marc",https://www.ourcommons.ca/Members/en/marc-dalton(35909)
"Damoff, Pam",https://www.ourcommons.ca/Members/en/pam-damoff(88884)
"Dancho, Raquel",https://www.ourcommons.ca/Members/en/raquel-dancho(105521)
"Davidson, Scot",https://www.ourcommons.ca/Members/en/scot-davidson(102653)
"Davies, Don",https://www.ourcommons.ca/Members/en/don-davies(59325)
"DeBellefeuille, Claude",https://www.ourcommons.ca/Members/en/claude-debellefeuille(35315)
"Deltell, Gérard",https://www.ourcommons.ca/Members/en/gerard-deltell(88535)
"d'Entremont, Chris",https://www.ourcommons.ca/Members/en/chris-dentremont(49344)
"Desbiens, Caroline",https://www.ourcommons.ca/Members/en/caroline-desbiens(104715)
"Desilets, Luc",https://www.ourcommons.ca/Members/en/luc-desilets(104922)
"Desjarlais, Blake",https://www.ourcommons.ca/Members/en/blake-desjarlais(110889)
"Dhaliwal, Sukh",https://www.ourcommons.ca/Members/en/sukh-dhaliwal(31098)
"Dhillon, Anju",https://www.ourcommons.ca/Members/en/anju-dhillon(88453)
"Diab, Lena Metlege",https://www.ourcommons.ca/Members/en/lena-metlege-diab(109915)
"Doherty, Todd",https://www.ourcommons.ca/Members/en/todd-doherty(89249)
"Dong, Han",https://www.ourcommons.ca/Members/en/han-dong(105091)
"Dowdall, Terry",https://www.ourcommons.ca/Members/en/terry-dowdall(105410)
"Dreeshen, Earl",https://www.ourcommons.ca/Members/en/earl-dreeshen(59226)
"Drouin, Francis",https://www.ourcommons.ca/Members/en/francis-drouin(88756)
"Dubourg, Emmanuel",https://www.ourcommons.ca/Members/en/emmanuel-dubourg(84660)
"Duclos, Jean-Yves",https://www.ourcommons.ca/Members/en/jean-yves-duclos(89408)
"Duguid, Terry",https://www.ourcommons.ca/Members/en/terry-duguid(31119)
"Duncan, Eric",https://www.ourcommons.ca/Members/en/eric-duncan(105422)
"Duncan, Kirsty",https://www.ourcommons.ca/Members/en/kirsty-duncan(58877)
"Dzerowicz, Julie",https://www.ourcommons.ca/Members/en/julie-dzerowicz(88721)
"Ehsassi, Ali",https://www.ourcommons.ca/Members/en/ali-ehsassi(89010)
"El-Khoury, Fayçal",https://www.ourcommons.ca/Members/en/faycal-el-khoury(88515)
"Ellis, Stephen",https://www.ourcommons.ca/Members/en/stephen-ellis(109905)
"Epp, Dave",https://www.ourcommons.ca/Members/en/dave-epp(105082)
"Erskine-Smith, Nathaniel",https://www.ourcommons.ca/Members/en/nathaniel-erskine-smith(88687)
"Falk, Rosemarie",https://www.ourcommons.ca/Members/en/rosemarie-falk(98749)
"Falk, Ted",https://www.ourcommons.ca/Members/en/ted-falk(84672)
"Fast, Ed",https://www.ourcommons.ca/Members/en/ed-fast(35904)
"Fergus, Greg",https://www.ourcommons.ca/Members/en/greg-fergus(88478)
"Ferreri, Michelle",https://www.ourcommons.ca/Members/en/michelle-ferreri(110604)
"Fillmore, Andy",https://www.ourcommons.ca/Members/en/andy-fillmore(88325)
"Findlay, Kerry-Lynne",https://www.ourcommons.ca/Members/en/kerry-lynne-d-findlay(20878)
"Fisher, Darren",https://www.ourcommons.ca/Members/en/darren-fisher(88323)
"Fonseca, Peter",https://www.ourcommons.ca/Members/en/peter-fonseca(71692)
"Fortier, Mona",https://www.ourcommons.ca/Members/en/mona-fortier(96356)
"Fortin, Rhéal Éloi",https://www.ourcommons.ca/Members/en/rheal-eloi-fortin(88605)
"Fragiskatos, Peter",https://www.ourcommons.ca/Members/en/peter-fragiskatos(88827)
"Fraser, Sean",https://www.ourcommons.ca/Members/en/sean-fraser(88316)
"Freeland, Chrystia",https://www.ourcommons.ca/Members/en/chrystia-freeland(84665)
"Fry, Hedy",https://www.ourcommons.ca/Members/en/hedy-fry(1589)
"Gaheer, Iqwinder",https://www.ourcommons.ca/Members/en/iqwinder-gaheer(110534)
"Gainey, Anna",https://www.ourcommons.ca/Members/en/anna-gainey(115736)
"Gallant, Cheryl",https://www.ourcommons.ca/Members/en/cheryl-gallant(1809)
"Garon, Jean-Denis",https://www.ourcommons.ca/Members/en/jean-denis-garon(110189)
"Garrison, Randall",https://www.ourcommons.ca/Members/en/randall-garrison(71995)
"Gaudreau, Marie-Hélène",https://www.ourcommons.ca/Members/en/marie-helene-gaudreau(104806)
"Gazan, Leah",https://www.ourcommons.ca/Members/en/leah-gazan(87121)
"Généreux, Bernard",https://www.ourcommons.ca/Members/en/bernard-genereux(63908)
"Genuis, Garnett",https://www.ourcommons.ca/Members/en/garnett-genuis(89226)
"Gerretsen, Mark",https://www.ourcommons.ca/Members/en/mark-gerretsen(88802)
"Gill, Marilène",https://www.ourcommons.ca/Members/en/marilene-gill(88538)
"Gladu, Marilyn",https://www.ourcommons.ca/Members/en/marilyn-gladu(88938)
"Godin, Joël",https://www.ourcommons.ca/Members/en/joel-godin(89407)
"Goodridge, Laila",https://www.ourcommons.ca/Members/en/laila-goodridge(110918)
"Gould, Karina",https://www.ourcommons.ca/Members/en/karina-gould(88715)
"Gourde, Jacques",https://www.ourcommons.ca/Members/en/jacques-gourde(35397)
"Gray, Tracy",https://www.ourcommons.ca/Members/en/tracy-gray(105802)
"Green, Matthew",https://www.ourcommons.ca/Members/en/matthew-green(93023)
"Guilbeault, Steven",https://www.ourcommons.ca/Members/en/steven-guilbeault(14171)
"Hajdu, Patty",https://www.ourcommons.ca/Members/en/patty-hajdu(88984)
"Hallan, Jasraj Singh",https://www.ourcommons.ca/Members/en/jasraj-singh-hallan(105630)
"Hanley, Brendan",https://www.ourcommons.ca/Members/en/brendan-hanley(111109)
"Hardie, Ken",https://www.ourcommons.ca/Members/en/ken-hardie(89274)
"Hepfner, Lisa",https://www.ourcommons.ca/Members/en/lisa-hepfner(110446)
"Hoback, Randy",https://www.ourcommons.ca/Members/en/randy-hoback(59148)
"Holland, Mark",https://www.ourcommons.ca/Members/en/mark-holland(25508)
"Housefather, Anthony",https://www.ourcommons.ca/Members/en/anthony-housefather(88558)
"Hughes, Carol",https://www.ourcommons.ca/Members/en/carol-hughes(31289)
"Hussen, Ahmed",https://www.ourcommons.ca/Members/en/ahmed-hussen(89020)
